order_id,order_date,ship_date,order_priority,country_code,product_id,sales_channel,units_sold,unit_price,unit_cost,product_name,country,region,sub_region,revenue,total_cost,profit,margin_%
100640618,2014-10-08,2014-10-18,M,NOR,2103,Online,650,205.7,117.11,Cereal,Norway,Europe,Northern Europe,133705.0,76121.5,57583.5,43.06757413709285
100983083,2016-08-11,2016-08-11,C,SRB,2103,Offline,1993,205.7,117.11,Cereal,Serbia,Europe,Southern Europe,409960.1,233400.23,176559.86999999997,43.06757413709285
101025998,2014-07-18,2014-08-11,M,UNKNOWN,7940,Online,4693,668.27,502.54,Household,,,,3136191.11,2358420.22,777770.8899999997,24.799856345489086
102230632,2017-05-13,2017-06-13,L,MNE,2455,Online,1171,109.28,35.84,Clothes,Montenegro,Europe,Southern Europe,127966.88,41968.64000000001,85998.23999999999,67.203513909224
103435266,2012-08-11,2012-09-18,H,SRB,1270,Offline,7648,47.45,31.79,Beverages,Serbia,Europe,Southern Europe,362897.60000000003,243129.91999999998,119767.68000000005,33.003161222339315
103450715,2015-03-15,2015-04-18,H,SVK,8681,Online,2220,651.21,524.96,Office Supplies,Slovakia,Europe,Eastern Europe,1445686.2000000002,1165411.2000000002,280275.0,19.38698730056356
103499639,2013-04-20,2013-06-06,L,FRA,4594,Online,6698,9.33,6.92,Fruits,France,Europe,Western Europe,62492.340000000004,46350.159999999996,16142.180000000008,25.830653804930343
103762280,2011-11-12,2011-12-14,M,ESP,5988,Online,4419,154.06,90.93,Vegetables,Spain,Europe,Southern Europe,680791.14,401819.67000000004,278971.47,40.97754121770738
103832662,2012-09-19,2012-10-20,H,HRV,7331,Offline,5247,255.28,159.42,Baby Food,Croatia,Europe,Southern Europe,1339454.16,836476.74,502977.4199999999,37.55092447508618
104008615,2011-01-23,2011-02-22,M,DEU,2103,Online,7315,205.7,117.11,Cereal,Germany,Europe,Western Europe,1504695.5,856659.65,648035.85,43.06757413709285
104165685,2012-02-19,2012-03-06,L,ARM,7940,Online,3796,668.27,502.54,Household,Armenia,Asia,Western Asia,2536752.92,1907641.84,629111.0799999998,24.799856345489093
104190576,2017-02-22,2017-03-12,C,GEO,8875,Offline,1162,421.89,364.69,Meat,Georgia,Asia,Western Asia,490236.18,423769.77999999997,66466.40000000002,13.558036455000124
104245078,2013-03-27,2013-04-21,M,GBR,4594,Offline,7290,9.33,6.92,Fruits,United Kingdom,Europe,Northern Europe,68015.7,50446.8,17568.899999999994,25.830653804930325
104548490,2014-01-01,2014-01-05,M,UNKNOWN,7331,Online,7076,255.28,159.42,Baby Food,,,,1806361.28,1128055.92,678305.3600000001,37.550924475086184
105030000,2016-06-02,2016-06-13,C,SVN,2455,Offline,9566,109.28,35.84,Clothes,Slovenia,Europe,Southern Europe,1045372.48,342845.44000000006,702527.0399999999,67.20351390922401
107651269,2013-10-28,2013-11-11,M,HRV,7940,Online,5258,668.27,502.54,Household,Croatia,Europe,Southern Europe,3513763.6599999997,2642355.3200000003,871408.3399999994,24.799856345489083
108407437,2015-02-19,2015-03-27,C,ROU,7331,Offline,9025,255.28,159.42,Baby Food,Romania,Europe,Eastern Europe,2303902.0,1438765.5,865136.5,37.55092447508618
109914195,2012-03-12,2012-04-16,M,POL,2455,Offline,4908,109.28,35.84,Clothes,Poland,Europe,Eastern Europe,536346.24,175902.72000000003,360443.51999999996,67.20351390922401
111063039,2012-05-26,2012-07-13,L,LUX,7331,Online,4876,255.28,159.42,Baby Food,Luxembourg,Europe,Western Europe,1244745.28,777331.9199999999,467413.3600000001,37.55092447508619
111246287,2017-06-09,2017-07-02,M,CYP,8875,Offline,9103,421.89,364.69,Meat,Cyprus,Asia,Western Asia,3840464.67,3319773.07,520691.6000000001,13.558036455000122
111496055,2011-04-28,2011-06-04,M,BEL,4594,Online,3015,9.33,6.92,Fruits,Belgium,Europe,Western Europe,28129.95,20863.8,7266.1500000000015,25.830653804930336
111893022,2016-10-28,2016-12-02,L,SVN,7331,Online,486,255.28,159.42,Baby Food,Slovenia,Europe,Southern Europe,124066.08,77478.12,46587.96000000001,37.550924475086184
112330758,2016-12-15,2017-01-11,C,LTU,8681,Offline,22,651.21,524.96,Office Supplies,Lithuania,Europe,Northern Europe,14326.62,11549.12,2777.5,19.386987300563565
113524663,2010-10-29,2010-12-09,L,RUS,8293,Online,3325,437.2,263.33,Cosmetics,Russia,Europe,Eastern Europe,1453690.0,875572.25,578117.75,39.76898444647758
114954173,2010-02-03,2010-02-11,C,MLT,4594,Offline,6349,9.33,6.92,Fruits,Malta,Europe,Southern Europe,59236.17,43935.08,15301.089999999997,25.830653804930325
115363156,2015-12-04,2016-01-10,H,UKR,8681,Offline,7376,651.21,524.96,Office Supplies,Ukraine,Europe,Eastern Europe,4803324.96,3872104.9600000004,931219.9999999995,19.386987300563558
117929494,2015-01-24,2015-03-02,H,UNKNOWN,4594,Offline,6813,9.33,6.92,Fruits,,,,63565.29,47145.96,16419.33,25.830653804930336
118086564,2016-02-19,2016-03-13,M,NOR,8969,Online,3293,152.58,97.44,Snacks,Norway,Europe,Northern Europe,502445.94000000006,320869.92,181576.02000000008,36.13841918993316
118659913,2014-08-02,2014-08-17,C,CZE,2103,Online,2960,205.7,117.11,Cereal,Czech Republic,Europe,Eastern Europe,608872.0,346645.6,262226.4,43.067574137092855
118859469,2011-06-02,2011-07-01,L,UNKNOWN,8969,Offline,2013,152.58,97.44,Snacks,,,,307143.54000000004,196146.72,110996.82000000004,36.13841918993316
119935786,2015-01-14,2015-01-27,L,ROU,3127,Offline,519,81.73,56.67,Personal Care,Romania,Europe,Eastern Europe,42417.87,29411.73,13006.140000000003,30.661935641747224
120419871,2015-05-13,2015-06-26,H,LTU,3127,Online,3771,81.73,56.67,Personal Care,Lithuania,Europe,Northern Europe,308203.83,213702.57,94501.26000000001,30.661935641747217
120977771,2011-03-23,2011-05-02,M,ARM,4594,Online,8866,9.33,6.92,Fruits,Armenia,Asia,Western Asia,82719.78,61352.72,21367.059999999998,25.830653804930332
121380746,2016-11-21,2016-12-18,C,MLT,4594,Online,8115,9.33,6.92,Fruits,Malta,Europe,Southern Europe,75712.95,56155.8,19557.149999999994,25.830653804930325
121945512,2017-04-08,2017-04-12,C,GBR,1270,Online,5242,47.45,31.79,Beverages,United Kingdom,Europe,Northern Europe,248732.90000000002,166643.18,82089.72000000003,33.00316122233931
122144210,2017-04-27,2017-05-24,C,MNE,1270,Offline,4041,47.45,31.79,Beverages,Montenegro,Europe,Southern Europe,191745.45,128463.39,63282.06000000001,33.00316122233931
122372519,2016-01-10,2016-01-13,L,PRT,1270,Offline,1603,47.45,31.79,Beverages,Portugal,Europe,Southern Europe,76062.35,50959.369999999995,25102.98000000001,33.003161222339315
122967326,2017-03-24,2017-04-25,H,BLR,1270,Online,7619,47.45,31.79,Beverages,Belarus,Europe,Eastern Europe,361521.55000000005,242208.00999999998,119313.54000000007,33.003161222339315
123086202,2014-01-02,2014-02-20,M,EST,7331,Offline,2797,255.28,159.42,Baby Food,Estonia,Europe,Northern Europe,714018.16,445897.74,268120.42000000004,37.550924475086184
123544108,2010-05-13,2010-06-22,M,AUT,2103,Online,8302,205.7,117.11,Cereal,Austria,Europe,Western Europe,1707721.4,972247.22,735474.1799999999,43.06757413709285
123938930,2012-07-24,2012-08-02,M,BLR,1270,Online,5138,47.45,31.79,Beverages,Belarus,Europe,Eastern Europe,243798.1,163337.02,80461.08000000002,33.00316122233931
125339686,2017-07-11,2017-07-24,L,MKD,8969,Online,9653,152.58,97.44,Snacks,Macedonia,Europe,Southern Europe,1472854.7400000002,940588.32,532266.4200000003,36.13841918993316
